Case Number,Country,Date,Year,Type,Activity,Injury,Fatal
1895.02.27,AUSTRALIA,27-Feb-1895,1895,Unprovoked,Swimming,FATAL,Y
1892.00.00,AUSTRALIA,1892,1892,Provoked,Dress diving,FATAL         Bitten in two by shark that he molested with a knife. Buried at Batu Island.  PROVOKED INCIDENT,Y
1889.11.22,AUSTRALIA,22-Nov-1889,1889,Unprovoked,Fell into the water,FATAL,Y
1889.07.08,AUSTRALIA,08-Jul-1889,1889,Unprovoked,Fell into the water,FATAL ,Y
1888.12.09,AUSTRALIA,09-Dec-1888,1888,Unprovoked,Swimming,FATAL,Y
1888.12.00,AUSTRALIA,Dec-1888,1888,Unprovoked,Working on the bridge when he fell into the river,FATAL,Y
1887.12.04,AUSTRALIA,04-Dec-1887,1887,Unprovoked,,FATAL,Y
1886.06.17,AUSTRALIA,17-Jun-1886,1886,Unprovoked,Swimming after being washed overboard,FATAL,Y
1884.12.13,AUSTRALIA,13-Dec-1884,1884,Sea Disaster,yachting accident,"Cause of death most likely drowning, remains recovered in shark",Y
1884.01.14,AUSTRALIA,14-Jan-1884,1884,Unprovoked,Fell overboard,FATAL,Y
1883.12.19,AUSTRALIA,19-Dec-1883,1883,Unprovoked,Swimming,FATAL,Y
1883.02.25.R,AUSTRALIA,Reported 25-Feb-1883,1883,Unprovoked,Diving,FATAL,Y
1883.01.21,AUSTRALIA,21-Jan-1883,1883,Unprovoked,Bathing,FATAL,Y
1882.05.12.R,AUSTRALIA,Reported 12-May-1882,1882,Unprovoked,Pearl diving,FATAL      Torso bitten,Y
1882.04.15,AUSTRALIA,15-Apr-1882,1882,Unprovoked,Fishing,FATAL,Y
1882.02.07.R,AUSTRALIA,Reported  07-Feb-1882,1882,Unprovoked,Pearl diving,FATAL                       Thigh bitten,Y
1882.01.23.R,AUSTRALIA,Reported 23-Jan-1882,1882,Unprovoked,Bathing,FATAL,Y
1880.11.25,AUSTRALIA,25-Nov-1880,1880,Unprovoked,Swimming,"Feet bitten, surgically amputated FATAL",Y
1880.10.10,AUSTRALIA,10-Oct-1880,1880,Sea Disaster,Traveling by boat,"Disappeared, thought to have murdered or drowned or  taken by a sharks after entrails washed ashore",Y
1878.00.00,AUSTRALIA,1878,1878,Unprovoked,Bathing in 2 feet of water,"FATAL, leg severed ",Y
1877.12.12,AUSTRALIA,12-Dec-1877,1877,Unprovoked,Washed overboard from the barque Mary Eady,FATAL,Y
1877.01.28,AUSTRALIA,  28-Jan-1877,1877,Unprovoked,Bathing,FATAL,Y
1876.05.14,AUSTRALIA,14-May-1876,1876,Unprovoked,Swimming,FATAL,Y
1876.02.06,AUSTRALIA,06-Feb-1876,1876,Unprovoked,Bathing,"FATAL, rescued by man on horseback, but died on the beach  ",Y
1876.00.00.a,AUSTRALIA,1876,1876,Unprovoked,,"FATAL, ""his side was  bitten""",Y
1875.00.00,AUSTRALIA,Ca. mid-1870s,1870,Unprovoked,Sitting on gunwale of boat,FATAL,Y
1872.02.26,AUSTRALIA,26-Feb-1872,1872,Sea Disaster,Wreck of the 150-ton brig Maria,"FATAL, some were taken by sharks",Y
1871.00.00.c,AUSTRALIA,1871,1871,Unprovoked,,"FATAL, ""caught by legs"" ",Y
1868.00.00.b,AUSTRALIA,"Reported 24-Oct-1888, but took place around 1868",1868,Unprovoked,Swimming,FATAL,Y
1863.04.00,AUSTRALIA,Apr-1863,1863,Unprovoked,Launching a boat,FATAL,Y
1863.01.10,AUSTRALIA,10-Jan-1863,1863,Unprovoked,Bathing,FATAL,Y
1862.12.19.R,AUSTRALIA,Reported 19-Dec-1862,1862,Unprovoked,Trying to catch a wounded bird,FATAL,Y
1858.03.14,AUSTRALIA,14-Mar-1858,1858,Unprovoked,Bathing,FATAL,Y
1855.11.11,AUSTRALIA,11-Nov-1855,1855,Unprovoked,Swimming,FATAL,Y
1855.04.09.R,AUSTRALIA,Reported 09-Apr-1855,1855,Unprovoked,Fell overboard from the Malacca,FATAL,Y
1855.03.28,AUSTRALIA,28-Mar-1855,1855,Unprovoked,Fell overboard from the Sobella,FATAL,Y
1853.00.00.d,AUSTRALIA,1853,1853,Unprovoked,Fell into the water,FATAL,Y
1852.10.09.R,AUSTRALIA,Reported 09-Oct-1852,1852,Unprovoked,Fell overboard,FATAL,Y
1849.12.09,AUSTRALIA,09-Dec-1849,1849,Unprovoked,,FATAL,Y
1849.12.01,AUSTRALIA,01-Dec-1849,1849,Unprovoked,Bathing,FATAL,Y
1849.09.19,AUSTRALIA,19-Sep-1849,1849,Unprovoked,Swimming,FATAL,Y
1845.12.26,AUSTRALIA,26-Dec-1845,1845,Unprovoked,Fishing,FATAL,Y
1841.03.27,AUSTRALIA,27-Mar-1841,1841,Unprovoked,Bathing,FATAL,Y
1840.12.00,AUSTRALIA,Dec-1840,1840,Unprovoked,Swimming,FATAL,Y
1839.00.00.b,AUSTRALIA,1839/1840,1840,Unprovoked,Attempting to rescue crew after whale upset their boat,FATAL,Y
1837.01.17,AUSTRALIA,17-Jan-1837,1837,Unprovoked,Washing his feet,"FATAL     Injured by shark, died of tetanus",Y
1825.00.00.b,AUSTRALIA,1820s,1820,Unprovoked,Swimming,FATAL,Y
1791.00.00,AUSTRALIA,1791,1791,Unprovoked,,"FATAL, ""bitten in two""",Y
ND-0138,AUSTRALIA,Before 1909,1909,Unprovoked,Fell into the water,FATAL,Y
ND.0020,AUSTRALIA,1920 -1923,1923,Unprovoked,,FATAL,Y
ND.0009,AUSTRALIA,Before 1906,1906,Unprovoked,Fishing,"FATAL, knocked overboard by tail of shark & carried off by shark ",Y
ND.0008,AUSTRALIA,Before 1906,1906,Unprovoked,Fishing,FATAL,Y
ND.0007,AUSTRALIA,Before 1906,1906,Unprovoked,Fishing,FATAL,Y
ND.0006,AUSTRALIA,Before 1906,1906,Unprovoked,Swimming,FATAL,Y
ND.0005,AUSTRALIA,Before 1903,1903,Unprovoked,Diving,FATAL,Y
ND.0004,AUSTRALIA,Before 1903,1903,Unprovoked,Pearl diving,FATAL,Y
